spread,target_median,number_KNN,ABS Metrics ,fsignal
2566,2378,14,0.08,0
,,,,
1064,1068,19,0,0
,,,,
1664,2108,23,0.21,0
,,,,
3297,2378,14,0.39,0
,,,,
1506,1285,2,0.17,1
,,,,
1771,1462,4,0.21,0
,,,,
2587,3111,3,0.17,0
,,,,
1389,1186,4,0.17,1
,,,,
1957,1957,5,0,0
,,,,
2379,2312,3,0.03,0
,,,,
844,912,2,0.07,0
,,,,
1193,1396,2,0.15,1
,,,,
1764,1764,1,0,0
,,,,
2994,2993,3,0,0
,,,,
1345,1068,19,0.26,0
,,,,
2131,2108,23,0.01,0
,,,,
1187,1187,3,0,0
,,,,
2114,2108,23,0,0
,,,,
548,907,3,0.4,1
,,,,
823,1284,6,0.36,1
,,,,
1182,1818,6,0.35,1
,,,,
2373,2373,1,0,0
,,,,
875,996,21,0.12,0
,,,,
1520,1419,27,0.07,0
,,,,
920,907,3,0.01,0
,,,,
1258,1284,6,0.02,0
,,,,
2190,1818,6,0.2,1
,,,,
376,376,1,0,0
,,,,
223,223,1,0,0
,,,,
1563,1563,3,0,0
,,,,
467,467,1,0,0
,,,,
953,921,2,0.03,0
,,,,
1274,1274,1,0,0
,,,,
36,36,1,0,0
,,,,
4604,4604,1,0,0
,,,,
71214,71214,1,0,0
,,,,
905,1085,3,0.17,0
,,,,
1210,1068,19,0.13,0
,,,,
1068,1068,19,0,0
,,,,
946,946,4,0,0
,,,,
1055,1506,13,0.3,1
,,,,
954,1008,5,0.05,0
,,,,
814,996,21,0.18,0
,,,,
1012,996,21,0.02,0
,,,,
942,996,21,0.05,0
,,,,
2141,824,14,1.6,0
,,,,
1621,824,14,0.97,0
,,,,
213,213,1,0,0
,,,,
558,558,1,0,0
,,,,
9800,9800,1,0,0
,,,,
16727,16727,1,0,0
,,,,
291,291,1,0,0
,,,,
1007,996,21,0.01,0
,,,,
1254,1419,27,0.12,0
,,,,
1263,1796,13,0.3,0
,,,,
1083,1034,2,0.05,0
,,,,
1146,1362,5,0.16,0
,,,,
1646,1796,13,0.08,0
,,,,
216,216,1,0,0
,,,,
960,960,1,0,0
,,,,
1750,1750,1,0,0
,,,,
1224,2128,4,0.42,0
,,,,
907,946,2,0.04,0
,,,,
1685,2128,4,0.21,1
,,,,
1480,1480,1,0,0
,,,,
1039,1039,1,0,0
,,,,
275,275,1,0,0
,,,,
296,296,1,0,0
,,,,
210,210,1,0,0
,,,,
1323,1323,1,0,0
,,,,
242,242,1,0,0
,,,,
1169,1169,1,0,0
,,,,
813,1563,3,0.48,1
,,,,
2021,1757,2,0.15,0
,,,,
676,676,1,0,0
,,,,
651,651,1,0,0
,,,,
173,173,1,0,0
,,,,
348,348,1,0,0
,,,,
983,983,1,0,0
,,,,
27860,27860,1,0,0
,,,,
3009,3009,1,0,0
,,,,
1093,1093,1,0,0
,,,,
1103,1103,1,0,0
,,,,
1480,1480,1,0,0
,,,,
9414,9414,1,0,0
,,,,
542,542,1,0,0
,,,,
587,587,1,0,0
,,,,
677,677,1,0,0
,,,,
350,350,1,0,0
,,,,
922,922,1,0,0
,,,,
462,462,1,0,0
,,,,
882,882,1,0,0
,,,,
592,592,1,0,0
,,,,
394,394,1,0,0
,,,,
374,374,1,0,0
,,,,
294,294,1,0,0
,,,,
823,823,1,0,0
,,,,
566,566,1,0,0
,,,,
817,1256,3,0.35,0
,,,,
625,729,2,0.14,0
,,,,
1256,1256,3,0,0
,,,,
812,808,2,0,0
,,,,
1203,1268,2,0.05,0
,,,,
985,946,2,0.04,0
,,,,
2571,2128,4,0.21,0
,,,,
728,728,1,0,0
,,,,
1458,1594,2,0.09,0
,,,,
1270,1270,1,0,0
,,,,
946,861,4,0.1,0
,,,,
1613,1764,7,0.09,0
,,,,
895,904,4,0.01,0
,,,,
1463,1463,1,0,0
,,,,
1932,1628,19,0.19,0
,,,,
976,1008,6,0.03,0
,,,,
1284,1628,19,0.21,0
,,,,
755,840,3,0.1,0
,,,,
1453,1365,2,0.06,1
,,,,
4770,4770,3,0,0
,,,,
757,760,2,0,0
,,,,
1277,1275,3,0,0
,,,,
1413,4770,3,0.7,0
,,,,
1280,1280,1,0,0
,,,,
2728,2670,5,0.02,0
,,,,
2748,1256,4,1.19,1
,,,,
2913,1487,5,0.96,0
,,,,
3930,2980,7,0.32,0
,,,,
1079,1256,4,0.14,0
,,,,
2248,2141,23,0.05,1
,,,,
1258,1039,7,0.21,0
,,,,
2544,2141,23,0.19,1
,,,,
1127,1106,10,0.02,1
,,,,
1487,1487,5,0,0
,,,,
2980,2980,7,0,0
,,,,
1057,1186,4,0.11,0
,,,,
2277,1957,5,0.16,0
,,,,
1458,1064,12,0.37,1
,,,,
2851,2108,23,0.35,1
,,,,
1061,1064,12,0,0
,,,,
1506,1506,13,0,0
,,,,
1064,1068,19,0,0
,,,,
2833,2108,23,0.34,0
,,,,
1064,1068,19,0,0
,,,,
1364,2108,23,0.35,0
,,,,
1003,996,21,0.01,0
,,,,
1353,1419,27,0.05,0
,,,,
998,996,21,0,0
,,,,
1618,1419,27,0.14,0
,,,,
793,996,21,0.2,0
,,,,
1143,1419,27,0.19,0
,,,,
812,874,2,0.07,0
,,,,
1557,1674,5,0.07,0
,,,,
764,824,14,0.07,0
,,,,
1541,1533,15,0.01,0
,,,,
557,622,2,0.1,0
,,,,
1493,1757,2,0.15,0
,,,,
912,904,4,0.01,0
,,,,
981,1088,4,0.1,0
,,,,
1116,1116,1,0,0
,,,,
1812,1812,1,0,0
,,,,
384,384,1,0,0
,,,,
172,172,1,0,0
,,,,
2603,2603,1,0,0
,,,,
1116,1366,2,0.18,0
,,,,
351,351,1,0,0
,,,,
1592,1592,1,0,0
,,,,
296,296,1,0,0
,,,,
448,448,1,0,0
,,,,
582,582,1,0,0
,,,,
1173,1173,1,0,0
,,,,
826,568,2,0.45,1
,,,,
4796,4796,1,0,0
,,,,
646,646,1,0,0
,,,,
724,724,1,0,0
,,,,
5160,5160,1,0,0
,,,,
163,163,1,0,0
,,,,
585,585,1,0,0
,,,,
143,143,1,0,0
,,,,
265,415,2,0.36,1
,,,,
1066,1066,1,0,0
,,,,
572,572,1,0,0
,,,,
889,921,2,0.03,0
,,,,
1074,1074,1,0,0
,,,,
433,433,1,0,0
,,,,
731,731,1,0,0
,,,,
1022,1022,1,0,0
,,,,
1322,1322,1,0,0
,,,,
148,148,1,0,0
,,,,
262,262,1,0,0
,,,,
713,713,1,0,0
,,,,
816,816,1,0,0
,,,,
1603,1694,2,0.05,0
,,,,
748,516,3,0.45,0
,,,,
892,662,2,0.35,0
,,,,
1242,991,3,0.25,0
,,,,
694,728,6,0.05,0
,,,,
1096,1096,1,0,0
,,,,
703,952,2,0.26,1
,,,,
908,908,1,0,0
,,,,
472,472,1,0,0
